College,Major,Program,Course Prefix,Course Name,Color
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 233,Plant Materials I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 400,Special Problems for Advanced Undergraduates 2,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 127,Horticulture and Landscape Design,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,BRAE 337,Landscape Irrigation,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 327,Vertebrate Pest Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,FSN 275,Elements of Food Safety,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,WVIT 332,Advanced Viticulture - Winter,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 126,Landscape Construction,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 321,Weed Biology and Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 245,Horticultural Production Techniques,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 410,Crop Physiology,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 101,Orientation to Horticulture and Crop Science,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 225,Floral Design II,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,SPAN 102,Elementary Spanish II,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,SPAN 111,Elementary Hispanic Language and Culture (USCP),#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,BRAE 340,Irrigation Water Management (Upper-Division B) 1,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 427,Disease and Pest Control Systems for Ornamental Plants,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,SPAN 101,Elementary Spanish I,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,STAT 218,Applied Statistics for the Life Sciences (GE Electives) 1,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AGB 214,Agribusiness Financial Accounting,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 304,Introduction to Plant Breeding,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,BUS 346,Principles of Marketing,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 406,Advanced Weed Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,BRAE 438,Drip/Micro Irrigation,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 200,Special Problems for Undergraduates 2,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 450,Current Issues in the Strawberry Industry,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 332,Landscape Contracting,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AG/ASCI 360,Holistic Management,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 123,Landscape Installation and Maintenance,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,SS 322,Soil Plant Relationships,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,CHEM 128,General Chemistry for Agriculture and Life Science II,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 355,Citrus and Avocado Fruit Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 334,Greenhouse Vegetable Enterprise Project,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 339,Internship in Horticulture and Crop Science 3,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 381,Native Plants for California Landscapes,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 421,Postharvest Technology of Horticultural Crops,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,AEPS 342,Potted Plant Production,#ff99f1
collegeofagriculturefoodenvironmentalsciences,Agricultural and Environmental Plant Sciences,Agricultural and Environmental Plant Sciences,CHEM 127,General Chemistry for Agriculture and Life Science I (B1 & B3) 1,#ff99f1
